epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6207,1.54527,3.52597,1.25145,0.02652,0.91131,0.22514,0.14838,1.07176,3.6264,0.89541,0.000190842,0.000190842,0.000190842
2,74.9125,1.30135,1.96085,1.08935,0.86176,0.16491,0.50153,0.36413,0.97499,2.81235,0.91385,0.000348545,0.000348545,0.000348545
3,91.2369,1.23775,1.47093,1.07169,0.69067,0.64604,0.78038,0.54268,1.03286,2.01646,0.92906,0.000467439,0.000467439,0.000467439
4,107.552,1.17036,1.2245,1.04101,0.77864,0.82503,0.87239,0.62485,1.06242,1.48382,0.93176,0.000413364,0.000413364,0.000413364
1,191.672,1.50895,2.91184,1.27428,0.58726,0.56784,0.67138,0.48399,1.03185,1.84284,1.04404,0.000190842,0.000190842,0.000190842
2,331.062,1.22153,1.08756,1.0951,0.9388,0.91089,0.967,0.70281,0.99615,0.86062,0.97815,0.000348545,0.000348545,0.000348545
3,430,1.15563,0.80711,1.08341,0.90741,0.95604,0.98094,0.70884,1.01641,0.79105,0.98638,0.000467439,0.000467439,0.000467439
4,558.62,1.07832,0.70603,1.0488,0.97415,0.97358,0.98679,0.72691,1.02967,0.60727,0.97083,0.000413364,0.000413364,0.000413364
5,661.501,1.04922,0.62582,1.02315,0.96687,0.9746,0.98427,0.74187,0.94026,0.55364,0.9518,0.000355152,0.000355152,0.000355152
6,811.298,1.0274,0.57685,1.02735,0.97365,0.97307,0.98971,0.76918,0.88502,0.48887,0.94612,0.00029694,0.00029694,0.00029694
7,922.207,0.97733,0.52481,1.00258,0.96852,0.98779,0.98769,0.76478,0.87778,0.46901,0.93461,0.000238728,0.000238728,0.000238728
8,1094.65,0.9428,0.4956,0.99676,0.98144,0.98717,0.9864,0.78914,0.80919,0.43513,0.92079,0.000180516,0.000180516,0.000180516
9,1238.82,0.93952,0.48176,0.99949,0.98165,0.98532,0.98726,0.78982,0.81263,0.41565,0.9184,0.000122304,0.000122304,0.000122304
10,1381.7,0.885,0.45883,0.97089,0.96412,0.98741,0.98649,0.79089,0.80619,0.41397,0.91435,6.4092e-05,6.4092e-05,6.4092e-05
1,113.321,1.50619,2.67204,1.22845,0.581,0.72583,0.7908,0.56547,1.02692,1.53014,1.03402,0.000190842,0.000190842,0.000190842
